Ingredient,English Name,Halal Status,Mushbooh Explanation,Halal Status Explanation
植物油,Vegetable Oil,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
食用五香粉,Edible Five-spice Powder,Mushbooh,Five-spice powder may contain alcohol or other non-halal components as part of its preparation.,"This ingredient may contain components that are ambiguous or uncertain regarding their halal status, such as solvents, carriers, or animal derivatives."
鸡皮,Chicken Skin,Halal if follow Islamic slaughtering guidelines,,"The ingredient is derived from an animal source, which must be slaughtered according to Islamic guidelines to be considered halal."
淀粉,Starch,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
可可粉,Cocoa Powder,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
花生油,Peanut Oil,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
红曲红,Red Yeast Rice,Mushbooh,The source of the pigment might be affected by fermentation methods involving non-halal substances.,"This ingredient may contain components that are ambiguous or uncertain regarding their halal status, such as solvents, carriers, or animal derivatives."
白砂糖,White Sugar,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
咖啡代可可脂巧克力制品,Coffee Cocoa Butter Substitute Chocolate Product,Mushbooh,Hydrogenated vegetable oils or other fats used may be from non-halal sources.,"This ingredient may contain components that are ambiguous or uncertain regarding their halal status, such as solvents, carriers, or animal derivatives."
芝麻,Sesame,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
六偏磷酸钠,Sodium Hexametaphosphate,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
鸡肉油,Chicken Oil,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
食用植物油,Edible Vegetable Oil,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
碳酸钠,Sodium Carbonate,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
低温食用蛋白粉,Low-temperature Edible Protein Powder,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
碳酸氢铵,Ammonium Bicarbonate,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
焦磷酸钠,Sodium Pyrophosphate,Halal,,"This ingredient is derived from a plant, mineral, or a substance that is permissible under Islamic dietary laws."
